week_end,disease,geography,percent_visits,trend_on_date,recent_trend
2022-10-01,Bronchitis,Illinois,0.2,Increasing,No Change
2022-10-01,Bronchitis,Indiana,0.2,No Change,No Change
2022-10-01,Bronchitis,Iowa,0.1,Increasing,No Change
2022-10-01,Bronchitis,Kansas,0.1,Increasing,No Change
2022-10-01,Bronchitis,Kentucky,2.0,Increasing,Decreasing
2022-10-01,Bronchitis,Louisiana,0.0,No Change,No Change
2022-10-01,Bronchitis,Maine,0.3,Increasing,No Change
2022-10-01,Bronchitis,Maryland,0.1,Increasing,No Change
2022-10-01,Bronchitis,Massachusetts,0.0,No Change,No Change
2022-10-01,Bronchitis,Michigan,0.1,No Change,No Change
2022-10-01,Bronchitis,Minnesota,0.6,Increasing,No Change
2022-10-01,Bronchitis,Mississippi,0.1,Increasing,No Change
2022-10-01,Bronchitis,Missouri,0.5,Increasing,No Change
2022-10-01,Bronchitis,Montana,0.0,No Change,No Change
2022-10-01,Bronchitis,Nebraska,0.1,No Change,No Change
2022-10-01,Bronchitis,Nevada,0.2,Increasing,No Change
2022-10-01,Bronchitis,New Hampshire,0.1,No Change,No Change
2022-10-01,Bronchitis,New Jersey,0.1,Increasing,No Change
2022-10-01,Bronchitis,New Mexico,0.1,Increasing,No Change
2022-10-01,Bronchitis,New York,0.1,Increasing,Decreasing
2022-10-01,Bronchitis,North Carolina,0.1,Increasing,No Change
2022-10-01,Bronchitis,North Dakota,0.1,Increasing,No Change
2022-10-01,Bronchitis,Ohio,0.2,Increasing,No Change
2022-10-01,Bronchitis,Oklahoma,0.8,Increasing,Increasing
2022-10-01,Bronchitis,Oregon,0.1,Increasing,No Change
2022-10-01,Bronchitis,Pennsylvania,0.0,No Change,No Change
2022-10-01,Bronchitis,Rhode Island,0.1,Increasing,No Change
2022-10-01,Bronchitis,South Carolina,0.2,Increasing,Decreasing
2022-10-01,Bronchitis,South Dakota,0.1,No Change,No Change
2022-10-01,Bronchitis,Tennessee,1.4,Increasing,No Change
2022-10-01,Bronchitis,Texas,0.7,Increasing,Increasing
2022-10-01,Bronchitis,Utah,1.6,Increasing,No Change
2022-10-01,Bronchitis,Vermont,0.1,No Change,No Change
2022-10-01,Bronchitis,Virginia,0.1,No Change,Decreasing
2022-10-01,Bronchitis,Washington,0.4,Increasing,No Change
2022-10-01,Bronchitis,West Virginia,0.1,Increasing,No Change
2022-10-01,Bronchitis,Wisconsin,0.1,No Change,Decreasing
2022-10-01,Bronchitis,Wyoming,0.0,No Change,No Change
2022-10-01,COVID,Alabama,0.1,No Change,No Change
2022-10-01,COVID,Alaska,0.2,Increasing,No Change
2022-10-01,COVID,Arizona,1.1,Decreasing,No Change
2022-10-01,COVID,Arkansas,0.1,Increasing,No Change
2022-10-01,COVID,California,0.2,Increasing,No Change
2022-10-01,COVID,Colorado,0.2,Increasing,No Change
2022-10-01,COVID,Connecticut,0.9,No Change,No Change
2022-10-01,COVID,Delaware,1.3,Increasing,No Change
2022-10-01,COVID,District of Columbia,0.6,Increasing,Increasing
2022-10-01,COVID,Florida,0.5,Increasing,No Change
2022-10-01,COVID,Georgia,0.9,Increasing,No Change
2022-10-01,COVID,Hawaii,0.1,No Change,No Change
2022-10-01,COVID,Idaho,0.9,Increasing,No Change
2022-10-01,COVID,Illinois,1.3,Increasing,No Change
2022-10-01,COVID,Indiana,0.4,Increasing,No Change
2022-10-01,COVID,Iowa,0.3,Increasing,No Change
2022-10-01,COVID,Kansas,1.2,Increasing,No Change
2022-10-01,COVID,Kentucky,0.8,Increasing,No Change
2022-10-01,COVID,Louisiana,0.1,Increasing,No Change
2022-10-01,COVID,Maine,0.9,Increasing,No Change
2022-10-01,COVID,Maryland,0.5,Increasing,No Change
2022-10-01,COVID,Massachusetts,0.2,Increasing,No Change
2022-10-01,COVID,Michigan,0.2,No Change,No Change
2022-10-01,COVID,Minnesota,1.1,Increasing,No Change
2022-10-01,COVID,Mississippi,0.1,No Change,No Change
2022-10-01,COVID,Missouri,0.5,Increasing,Increasing
2022-10-01,COVID,Montana,0.7,Increasing,No Change
2022-10-01,COVID,Nebraska,0.1,Increasing,No Change
2022-10-01,COVID,Nevada,0.3,Increasing,No Change
2022-10-01,COVID,New Hampshire,0.2,Increasing,No Change
2022-10-01,COVID,New Jersey,0.2,Increasing,No Change
2022-10-01,COVID,New Mexico,0.3,Increasing,No Change
2022-10-01,COVID,New York,0.3,Increasing,No Change
2022-10-01,COVID,North Carolina,0.1,Increasing,No Change
2022-10-01,COVID,North Dakota,0.2,Increasing,No Change
2022-10-01,COVID,Ohio,0.7,Increasing,No Change
2022-10-01,COVID,Oklahoma,0.9,Increasing,Increasing
2022-10-01,COVID,Oregon,0.5,Increasing,No Change
2022-10-01,COVID,Pennsylvania,0.2,Increasing,No Change
2022-10-01,COVID,Rhode Island,0.2,Increasing,No Change
2022-10-01,COVID,South Carolina,0.2,Increasing,No Change
2022-10-01,COVID,South Dakota,0.2,Increasing,No Change
2022-10-01,COVID,Tennessee,1.2,Increasing,No Change
2022-10-01,COVID,Texas,1.4,Increasing,No Change
2022-10-01,COVID,Utah,0.8,Increasing,Increasing
2022-10-01,COVID,Vermont,0.2,Increasing,No Change
2022-10-01,COVID,Virginia,0.3,No Change,No Change
2022-10-01,COVID,Washington,0.9,Increasing,No Change
2022-10-01,COVID,West Virginia,0.2,Increasing,No Change
2022-10-01,COVID,Wisconsin,0.8,Increasing,No Change
2022-10-01,COVID,Wyoming,0.2,Increasing,No Change
2022-10-01,Influenza,Alabama,1.8,Decreasing,Decreasing
2022-10-01,Influenza,Alaska,2.0,No Change,No Change
2022-10-01,Influenza,Arizona,2.4,Decreasing,Increasing
2022-10-01,Influenza,Arkansas,1.5,Decreasing,Decreasing
2022-10-01,Influenza,California,1.9,No Change,No Change
2022-10-01,Influenza,Colorado,3.7,Increasing,Increasing
2022-10-01,Influenza,Connecticut,3.6,No Change,No Change
2022-10-01,Influenza,Delaware,3.1,No Change,No Change
2022-10-01,Influenza,District of Columbia,2.8,Decreasing,Decreasing
2022-10-01,Influenza,Florida,2.4,No Change,Increasing
2022-10-01,Influenza,Georgia,5.1,No Change,Decreasing
2022-10-01,Influenza,Hawaii,2.5,Decreasing,No Change
2022-10-01,Influenza,Idaho,2.8,Decreasing,Increasing
2022-10-01,Influenza,Illinois,3.0,Decreasing,Increasing
2022-10-01,Influenza,Indiana,3.2,Decreasing,Increasing
2022-10-01,Influenza,Iowa,2.1,Decreasing,Increasing
2022-10-01,Influenza,Kansas,3.0,Decreasing,Increasing
2022-10-01,Influenza,Kentucky,3.8,Decreasing,Decreasing
2022-10-01,Influenza,Louisiana,4.2,Increasing,Increasing
2022-10-01,Influenza,Maine,3.4,No Change,No Change
2022-10-01,Influenza,Maryland,3.8,Increasing,No Change
2022-10-01,Influenza,Massachusetts,3.4,Decreasing,Increasing
2022-10-01,Influenza,Michigan,2.6,Decreasing,Increasing
2022-10-01,Influenza,Minnesota,2.5,Decreasing,No Change
2022-10-01,Influenza,Mississippi,3.1,Increasing,No Change
2022-10-01,Influenza,Missouri,2.8,Decreasing,Increasing
2022-10-01,Influenza,Montana,2.0,Decreasing,Increasing
2022-10-01,Influenza,Nebraska,1.7,No Change,No Change
2022-10-01,Influenza,Nevada,3.2,Increasing,No Change
2022-10-01,Influenza,New Hampshire,2.4,Decreasing,No Change
2022-10-01,Influenza,New Jersey,2.5,No Change,Decreasing
2022-10-01,Influenza,New Mexico,2.6,Decreasing,Increasing
2022-10-01,Influenza,New York,3.7,Increasing,Increasing
2022-10-01,Influenza,North Carolina,2.8,Decreasing,Decreasing
2022-10-01,Influenza,North Dakota,2.7,Increasing,Decreasing
2022-10-01,Influenza,Ohio,3.1,Decreasing,Increasing
2022-10-01,Influenza,Oklahoma,3.1,Decreasing,No Change
2022-10-01,Influenza,Oregon,2.7,Decreasing,Increasing
2022-10-01,Influenza,Pennsylvania,1.1,Decreasing,Increasing
2022-10-01,Influenza,Rhode Island,2.2,Decreasing,Increasing
2022-10-01,Influenza,South Carolina,1.8,Decreasing,Decreasing
2022-10-01,Influenza,South Dakota,2.8,Increasing,No Change
2022-10-01,Influenza,Tennessee,3.9,Decreasing,Increasing
2022-10-01,Influenza,Texas,3.2,Decreasing,Increasing
2022-10-01,Influenza,Utah,3.4,Decreasing,Decreasing
2022-10-01,Influenza,Vermont,2.2,Decreasing,No Change
2022-10-01,Influenza,Virginia,4.0,Increasing,Increasing
2022-10-01,Influenza,Washington,3.4,Decreasing,Increasing
2022-10-01,Influenza,West Virginia,3.1,No Change,Decreasing
2022-10-01,Influenza,Wisconsin,3.4,Decreasing,Increasing
2022-10-01,Influenza,Wyoming,2.2,Decreasing,Increasing
2022-10-08,Pneumonia,Alabama,1.3,Decreasing,Decreasing
2022-10-08,Pneumonia,Alaska,1.6,No Change,No Change
2022-10-08,Pneumonia,Arizona,0.9,Decreasing,Increasing
2022-10-08,Pneumonia,Arkansas,1.1,Decreasing,Decreasing
2022-10-08,Pneumonia,California,1.5,Decreasing,No Change
2022-10-08,Pneumonia,Colorado,3.4,No Change,Increasing
2022-10-08,Pneumonia,Connecticut,2.4,No Change,No Change
2022-10-08,Pneumonia,Delaware,1.4,Decreasing,No Change
2022-10-08,Pneumonia,District of Columbia,1.1,Decreasing,Decreasing
2022-10-08,Pneumonia,Florida,0.5,Decreasing,Increasing
2022-10-08,Pneumonia,Georgia,2.5,No Change,Decreasing
2022-10-08,Pneumonia,Hawaii,1.9,Decreasing,No Change
2022-10-08,Pneumonia,Idaho,1.8,Decreasing,Increasing
2022-10-08,Pneumonia,Illinois,1.5,Decreasing,Increasing
2022-10-08,Pneumonia,Indiana,2.6,Decreasing,Increasing
2022-10-08,Pneumonia,Iowa,1.5,Decreasing,Increasing
2022-10-08,Pneumonia,Kansas,1.8,Decreasing,Increasing
2022-10-08,Pneumonia,Kentucky,1.0,Decreasing,Decreasing
2022-10-08,Pneumonia,Louisiana,3.9,Increasing,Increasing
2022-10-08,Pneumonia,Maine,2.0,Decreasing,No Change
2022-10-08,Pneumonia,Maryland,3.4,Increasing,Increasing
2022-10-08,Pneumonia,Massachusetts,3.1,Decreasing,Increasing
2022-10-08,Pneumonia,Michigan,2.1,No Change,Increasing
2022-10-08,Pneumonia,Minnesota,0.7,Decreasing,No Change
2022-10-08,Pneumonia,Mississippi,2.6,No Change,No Change
2022-10-08,Pneumonia,Missouri,1.7,Decreasing,Increasing
2022-10-08,Pneumonia,Montana,1.1,Decreasing,Increasing
2022-10-08,Pneumonia,Nebraska,1.3,No Change,No Change
2022-10-08,Pneumonia,Nevada,2.6,No Change,No Change
2022-10-08,Pneumonia,New Hampshire,2.2,Decreasing,No Change
2022-10-08,Pneumonia,New Jersey,2.2,No Change,No Change
2022-10-08,Pneumonia,New Mexico,2.0,Decreasing,Increasing
2022-10-08,Pneumonia,New York,3.4,Increasing,Increasing
2022-10-08,Pneumonia,North Carolina,2.1,Decreasing,Decreasing
2022-10-08,Pneumonia,North Dakota,2.3,No Change,Decreasing
2022-10-08,Pneumonia,Ohio,2.0,Decreasing,Increasing
2022-10-08,Pneumonia,Oklahoma,1.2,Decreasing,No Change
2022-10-08,Pneumonia,Oregon,2.0,Decreasing,Increasing
2022-10-08,Pneumonia,Pennsylvania,0.8,Decreasing,Increasing
2022-10-08,Pneumonia,Rhode Island,1.7,Decreasing,Increasing
2022-10-08,Pneumonia,South Carolina,1.3,Decreasing,Decreasing
2022-10-08,Pneumonia,South Dakota,2.5,Increasing,No Change
2022-10-08,Pneumonia,Tennessee,1.2,Decreasing,Increasing
2022-10-08,Pneumonia,Texas,1.1,Decreasing,Increasing
2022-10-08,Pneumonia,Utah,0.9,Decreasing,Decreasing
2022-10-08,Pneumonia,Vermont,1.4,Decreasing,No Change
2022-10-08,Pneumonia,Virginia,4.2,Increasing,Increasing
2022-10-08,Pneumonia,Washington,1.9,Decreasing,Increasing
2022-10-08,Pneumonia,West Virginia,2.3,Decreasing,Decreasing
2022-10-08,Pneumonia,Wisconsin,2.0,Decreasing,Increasing
2022-10-08,Pneumonia,Wyoming,2.1,Decreasing,Increasing
2022-10-08,Bronchitis,Alabama,0.2,Increasing,No Change
2022-10-08,Bronchitis,Alaska,0.2,Increasing,No Change
2022-10-08,Bronchitis,Arizona,0.7,Increasing,No Change
2022-10-08,Bronchitis,Arkansas,0.3,Increasing,No Change
2022-10-08,Bronchitis,California,0.1,No Change,No Change
2022-10-08,Bronchitis,Colorado,0.2,Increasing,No Change
2022-10-08,Bronchitis,Connecticut,0.2,No Change,No Change
2022-10-08,Bronchitis,Delaware,0.2,No Change,No Change
2022-10-08,Bronchitis,District of Columbia,0.6,Increasing,No Change
2022-10-08,Bronchitis,Florida,1.8,Increasing,No Change
2022-10-08,Bronchitis,Georgia,1.4,Increasing,Decreasing
2022-10-08,Bronchitis,Hawaii,0.1,Increasing,No Change
2022-10-08,Bronchitis,Idaho,0.2,Increasing,No Change
2022-10-08,Bronchitis,Illinois,0.3,Increasing,No Change
2022-10-08,Bronchitis,Indiana,0.2,No Change,No Change
2022-10-08,Bronchitis,Iowa,0.2,Increasing,No Change
2022-10-08,Bronchitis,Kansas,0.2,Increasing,No Change
2022-10-08,Bronchitis,Kentucky,2.7,Increasing,Decreasing
2022-10-08,Bronchitis,Louisiana,0.1,No Change,No Change
2022-10-08,Bronchitis,Maine,0.4,Increasing,No Change
2022-10-08,Bronchitis,Maryland,0.1,Increasing,No Change
2022-10-08,Bronchitis,Massachusetts,0.1,No Change,No Change
2022-10-08,Bronchitis,Michigan,0.1,No Change,No Change
2022-10-08,Bronchitis,Minnesota,1.1,Increasing,No Change
2022-10-08,Bronchitis,Mississippi,0.0,No Change,No Change
2022-10-08,Bronchitis,Missouri,0.7,Increasing,No Change
2022-10-08,Bronchitis,Montana,0.1,No Change,No Change
2022-10-08,Bronchitis,Nebraska,0.2,Increasing,No Change
2022-10-08,Bronchitis,Nevada,0.3,Increasing,No Change
2022-10-08,Bronchitis,New Hampshire,0.1,No Change,No Change
2022-10-08,Bronchitis,New Jersey,0.1,Increasing,No Change
2022-10-08,Bronchitis,New Mexico,0.1,Increasing,No Change
2022-10-08,Bronchitis,New York,0.1,Increasing,Decreasing
2022-10-08,Bronchitis,North Carolina,0.1,Increasing,No Change
2022-10-08,Bronchitis,North Dakota,0.2,Increasing,No Change
2022-10-08,Bronchitis,Ohio,0.4,Increasing,No Change
2022-10-08,Bronchitis,Oklahoma,1.1,Increasing,Increasing
2022-10-08,Bronchitis,Oregon,0.2,Increasing,No Change
2022-10-08,Bronchitis,Pennsylvania,0.1,Increasing,No Change
2022-10-08,Bronchitis,Rhode Island,0.1,Increasing,No Change
2022-10-08,Bronchitis,South Carolina,0.3,Increasing,Decreasing
2022-10-08,Bronchitis,South Dakota,0.1,No Change,No Change
2022-10-08,Bronchitis,Tennessee,1.5,Increasing,No Change
2022-10-08,Bronchitis,Texas,1.3,Increasing,Increasing
2022-10-08,Bronchitis,Utah,2.4,Increasing,No Change
2022-10-08,Bronchitis,Vermont,0.1,No Change,No Change
2022-10-08,Bronchitis,Virginia,0.0,No Change,Decreasing
2022-10-08,Bronchitis,Washington,0.7,Increasing,No Change
2022-10-08,Bronchitis,West Virginia,0.1,No Change,No Change
2022-10-08,Bronchitis,Wisconsin,0.2,Increasing,Decreasing
2022-10-08,Bronchitis,Wyoming,0.1,Increasing,No Change
2022-10-08,COVID,Alabama,0.3,Increasing,No Change
2022-10-08,COVID,Alaska,0.3,Increasing,No Change
2022-10-08,COVID,Arizona,1.1,No Change,No Change
2022-10-08,COVID,Arkansas,0.2,Increasing,No Change
2022-10-08,COVID,California,0.2,Increasing,No Change
2022-10-08,COVID,Colorado,0.3,Increasing,No Change
2022-10-08,COVID,Connecticut,1.3,Increasing,No Change
2022-10-08,COVID,Delaware,1.6,Increasing,No Change
2022-10-08,COVID,District of Columbia,0.5,Increasing,Increasing
2022-10-08,COVID,Florida,0.4,No Change,No Change
2022-10-08,COVID,Georgia,1.1,Increasing,No Change
2022-10-08,COVID,Hawaii,0.0,No Change,No Change
2022-10-08,COVID,Idaho,1.2,Increasing,No Change
2022-10-08,COVID,Illinois,1.4,Increasing,No Change
2022-10-08,COVID,Indiana,0.5,Increasing,No Change
2022-10-08,COVID,Iowa,0.4,Increasing,No Change
2022-10-08,COVID,Kansas,1.3,Increasing,No Change
2022-10-08,COVID,Kentucky,0.7,Increasing,No Change
2022-10-08,COVID,Louisiana,0.2,Increasing,No Change
2022-10-08,COVID,Maine,1.0,Increasing,No Change
2022-10-08,COVID,Maryland,0.7,Increasing,No Change
2022-10-08,COVID,Massachusetts,0.4,Increasing,No Change
2024-08-17,Pneumonia,California,2.0,Increasing,No Change
2022-10-08,COVID,Michigan,0.4,Increasing,No Change
2022-10-08,COVID,Minnesota,0.7,No Change,No Change
2022-10-08,COVID,Mississippi,0.1,Increasing,No Change
2022-10-08,COVID,Missouri,0.6,Increasing,Increasing
2022-10-08,COVID,Montana,0.5,Increasing,No Change
2022-10-08,COVID,Nebraska,0.3,Increasing,No Change
2022-10-08,COVID,Nevada,0.3,Increasing,No Change
2022-10-08,COVID,New Hampshire,0.3,Increasing,No Change
2022-10-08,COVID,New Jersey,0.2,Increasing,No Change
2022-10-08,COVID,New Mexico,0.5,Increasing,No Change
2022-10-08,COVID,New York,0.5,Increasing,No Change
2022-10-08,COVID,North Carolina,0.2,Increasing,No Change
2022-10-08,COVID,North Dakota,0.3,Increasing,No Change
2022-10-08,COVID,Ohio,0.9,Increasing,No Change
2022-10-08,COVID,Oklahoma,0.7,Increasing,Increasing
2022-10-08,COVID,Oregon,0.7,Increasing,No Change
2022-10-08,COVID,Pennsylvania,0.2,Increasing,No Change
2022-10-08,COVID,Rhode Island,0.2,Increasing,No Change
2022-10-08,COVID,South Carolina,0.3,Increasing,No Change
2022-10-08,COVID,South Dakota,0.3,Increasing,No Change
2022-10-08,COVID,Tennessee,0.9,Increasing,No Change
2022-10-08,COVID,Texas,1.3,Increasing,No Change
2022-10-08,COVID,Utah,0.9,Increasing,Increasing
2022-10-08,COVID,Vermont,0.2,Increasing,No Change
2022-10-08,COVID,Virginia,0.6,Increasing,No Change
2022-10-08,COVID,Washington,1.1,Increasing,No Change
2022-10-08,COVID,West Virginia,0.3,Increasing,No Change
2022-10-08,COVID,Wisconsin,1.0,Increasing,No Change
2022-10-08,COVID,Wyoming,0.2,Increasing,No Change
2022-10-08,Influenza,Alabama,1.8,Decreasing,Decreasing
2022-10-08,Influenza,Alaska,2.0,Increasing,No Change
2022-10-08,Influenza,Arizona,2.7,Decreasing,Increasing
2022-10-08,Influenza,Arkansas,1.6,Decreasing,Decreasing
2022-10-08,Influenza,California,1.8,No Change,No Change
2022-10-08,Influenza,Colorado,3.9,No Change,Increasing
2022-10-08,Influenza,Connecticut,3.9,Increasing,No Change
2022-10-08,Influenza,Delaware,3.3,Increasing,No Change
2022-10-08,Influenza,District of Columbia,2.2,Decreasing,Decreasing
2022-10-08,Influenza,Florida,2.6,Increasing,Increasing
2022-10-08,Influenza,Georgia,5.0,Increasing,Decreasing
2022-10-08,Influenza,Hawaii,2.0,Decreasing,No Change
2022-10-08,Influenza,Idaho,3.2,Decreasing,Increasing
2022-10-08,Influenza,Illinois,3.2,No Change,Increasing
2022-10-08,Influenza,Indiana,3.3,Decreasing,Increasing
2022-10-08,Influenza,Iowa,2.1,Decreasing,Increasing
2022-10-08,Influenza,Kansas,3.2,Decreasing,Increasing
2022-10-08,Influenza,Kentucky,4.4,No Change,Decreasing
2022-10-08,Influenza,Louisiana,4.2,Increasing,Increasing
2022-10-08,Influenza,Maine,3.4,No Change,No Change
2022-10-08,Influenza,Maryland,4.2,Increasing,No Change
2022-10-08,Influenza,Massachusetts,3.5,Decreasing,Increasing
2022-10-08,Influenza,Michigan,2.6,No Change,Increasing
2022-10-08,Influenza,Minnesota,2.6,Decreasing,No Change
2022-10-08,Influenza,Mississippi,2.7,No Change,No Change
2022-10-08,Influenza,Missouri,2.9,Decreasing,Increasing
2022-10-08,Influenza,Montana,1.6,Decreasing,Increasing
2022-10-08,Influenza,Nebraska,1.8,Increasing,No Change
2022-10-08,Influenza,Nevada,3.2,Increasing,No Change
2022-10-08,Influenza,New Hampshire,2.6,No Change,No Change
2022-10-08,Influenza,New Jersey,2.5,Increasing,Decreasing
2022-10-08,Influenza,New Mexico,2.6,Decreasing,Increasing
2022-10-08,Influenza,New York,4.0,Increasing,Increasing
2022-10-08,Influenza,North Carolina,2.4,Decreasing,Decreasing
2022-10-08,Influenza,North Dakota,2.7,Increasing,Decreasing
2022-10-08,Influenza,Ohio,3.2,Decreasing,Increasing
2022-10-08,Influenza,Oklahoma,3.0,Decreasing,No Change
2022-10-08,Influenza,Oregon,2.9,Decreasing,Increasing
2022-10-08,Influenza,Pennsylvania,1.1,Decreasing,Increasing
2022-10-08,Influenza,Rhode Island,2.0,Decreasing,Increasing
2022-10-08,Influenza,South Carolina,1.9,No Change,Decreasing
2022-10-08,Influenza,South Dakota,2.9,Increasing,No Change
2022-10-08,Influenza,Tennessee,3.7,Decreasing,Increasing
2022-10-08,Influenza,Texas,3.6,Decreasing,Increasing
2022-10-08,Influenza,Utah,4.0,Increasing,Decreasing
2022-10-08,Influenza,Vermont,1.7,Decreasing,No Change
2022-10-08,Influenza,Virginia,4.8,Increasing,Increasing
2022-10-08,Influenza,Washington,3.7,Decreasing,Increasing
2022-10-08,Influenza,West Virginia,2.7,Decreasing,Decreasing
2022-10-08,Influenza,Wisconsin,3.1,Decreasing,Increasing
2022-10-08,Influenza,Wyoming,2.4,Decreasing,Increasing
2022-10-15,Pneumonia,Alabama,1.5,Decreasing,Decreasing
2022-10-15,Pneumonia,Alaska,1.6,No Change,No Change
2022-10-15,Pneumonia,Arizona,1.0,Decreasing,Increasing
2022-10-15,Pneumonia,Arkansas,1.0,Decreasing,Decreasing
2022-10-15,Pneumonia,California,1.7,No Change,No Change
2022-10-15,Pneumonia,Colorado,3.1,Decreasing,Increasing
2022-10-15,Pneumonia,Connecticut,2.3,No Change,No Change
2022-10-15,Pneumonia,Delaware,1.2,Decreasing,No Change
2022-10-15,Pneumonia,District of Columbia,1.1,Decreasing,Decreasing
2022-10-15,Pneumonia,Florida,0.5,Decreasing,Increasing
2022-10-15,Pneumonia,Georgia,2.1,Decreasing,Decreasing
2022-10-15,Pneumonia,Hawaii,2.1,Decreasing,No Change
2022-10-15,Pneumonia,Idaho,1.9,Decreasing,Increasing
2022-10-15,Pneumonia,Illinois,1.5,Decreasing,Increasing
2022-10-15,Pneumonia,Indiana,2.2,Decreasing,Increasing
2022-10-15,Pneumonia,Iowa,1.4,Decreasing,Increasing
2022-10-15,Pneumonia,Kansas,1.8,Decreasing,Increasing
2022-10-15,Pneumonia,Kentucky,0.8,Decreasing,Decreasing
2022-10-15,Pneumonia,Louisiana,4.7,Increasing,Increasing
2022-10-15,Pneumonia,Maine,1.8,Decreasing,No Change
2022-10-15,Pneumonia,Maryland,3.2,No Change,Increasing
2022-10-15,Pneumonia,Massachusetts,3.0,Decreasing,Increasing
2022-10-15,Pneumonia,Michigan,1.8,No Change,Increasing
2022-10-15,Pneumonia,Minnesota,0.7,Decreasing,No Change
2022-10-15,Pneumonia,Mississippi,2.5,Decreasing,No Change
2022-10-15,Pneumonia,Missouri,1.6,Decreasing,Increasing
2022-10-15,Pneumonia,Montana,1.0,Decreasing,Increasing
